Clarisse,,Sim,
Clarisseau,,Não,
Clarivaldo,,Não,
Claude,,Não,
Claudelina,,Não,
Claudemira,,Sim,
Claudemiro,M,Sim,
Claudete,,Não,
Cláudia,F,Sim,
Claudiana,F,Sim,
Claudides,,Não,
Cláudio,M,Sim,
Claudisabel,,Não,
Cláusio,,Não,
Clea,,Não,
Cleia,,Sim,
Cleide,F,Sim,
Clélia,F,Sim,
Clemência,,Sim,
Cleo,,Não,
Cleodice,,Sim,
Cleonice,F,Sim,
Cleópatra,F,Sim,
Clésia,,Sim,
Clésio,,Sim,
Cleudisse,,Não,
Cleusa,,Não,
Cleyse,,Não,
Clícia,,Sim,
Clídio,M,Sim,
Clife,,Sim,
Climénia,,Sim,
Clívia,,Sim,
Clober,,Não,
Cloe,F,Sim,
Cloé,F,Sim,
Clorinda,,Sim,
Clóvis,,Sim,
Coimbra,,Não,
Colete,,Sim,
Colino,,Não,
Coltrane,,Não,
Conceição,F,Sim,
Conceição Maria,,Sim,
Concha,F,Sim,
Conchita,,Não,
Consolação,F,Sim,
Consolação Maria,,Não,
Consolino,,Não,
Constança,F,Sim,
Constância,F,Sim,
Constâncio,M,Sim,
Constantino,M,Sim,
Consulino,,Sim,
Conte,,Não,
Cora,F,Sim,
Coral,,Não,
Corália,,Sim,
Cordália,,Não,
Cordélia,F,Sim,
Corina,,Sim,
Corine,,Não,
Córita,,Sim,
Corsino,M,Sim,
Cortês,,Não,
Cosete,F,Sim,
Cosette,,Não,
Cosme,M,Sim,
Cremilda,,Sim,
Cremilde,F,Sim,
Creolando,,Não,
Crestila,F,Sim,
Crestita,,Não,
Criçália,,Não,
Crimilde,,Não,
Cris,,Sim,como segundo elemento do nome
Crisália,,Sim,
Crisálida,F,Sim,
Crisanta,F,Sim,
Crisante,F,Sim,
Crisna,,Sim,como segundo elemento do nome
Crispim,M,Sim,
Cristal,,Não,
Cristalinda,,Não,
Cristela,,Sim,
Cristele,,Sim,
Cristene,F,Sim,
Cristia,,Não,
Cristian,,Não,
Cristiana,,Sim,
Cristiane,,Não,
Cristiani,,Não,
Cristiano,M,Sim,
Cristião,,Não,
Cristina,F,Sim,
Cristina Astride,,Sim,
Cristo,,Não,
Cristofe,,Sim,
Cristofer,,Não,
Cristóforo,M,Sim,
Cristolinda,,Sim,
Cristóvão,,Sim,
